Catégorie,Sous Catégorie,Type de frais,Détails Financiers des Remboursements,Niveau 1,Niveau 2,Niveau 3,Niveau 4,Niveau 5,Niveau 6
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Dépense (tarif réglementaire),€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Base de remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Remboursement Produit B,€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Hospitalisation,,Forfait Journalier hospitalier (hébergement),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Chambre particulière pour une nuit,Dépense (prix moyen national de l'acte),€66.59,€66.59,€66.59,€66.59,€66.59,€66.59
Hospitalisation,,Chambre particulière pour une nuit,Base de remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Chambre particulière pour une nuit,Remboursement de la sécurité sociale,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Chambre particulière pour une nuit,Remboursement Produit B,€0.00,€30.00,€45.00,€60.00,€70.00,€80.00
Hospitalisation,,Chambre particulière pour une nuit,Reste à charge,€66.59,€36.59,€21.59,€6.59,€0.00,€0.00
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Dépense (tarif moyen),€745.54,€745.54,€745.54,€745.54,€745.54,€745.54
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Base de remboursement de la sécurité sociale,€745.54,€745.54,€745.54,€745.54,€745.54,€745.54
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Remboursement de la sécurité sociale,€721.54,€721.54,€721.54,€721.54,€721.54,€721.54
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Remboursement Produit B,€24.00,€24.00,€24.00,€24.00,€24.00,€24.00
Hospitalisation,,Frais de séjour (opération chirurgicale de la cataracte en secteur privé),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Dépense (tarif moyen),€355.00,€355.00,€355.00,€355.00,€355.00,€355.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Base de remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Remboursement Produit B,€0.00,€67.00,€84.00,€84.00,€84.00,€84.00
Hospitalisation,,Honoraires médecins adhérents OPTAM,Reste à charge,€84.00,€17.00,€0.00,€0.00,€0.00,€0.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Dépense (tarif moyen),€447.00,€447.00,€447.00,€447.00,€447.00,€447.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Base de remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Remboursement de la sécurité sociale,€271.00,€271.00,€271.00,€271.00,€271.00,€271.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Remboursement Produit B,€0.00,€13.00,€81.00,€175.00,€175.00,€175.00
Hospitalisation,,Honoraires médecins secteur 2 (non adhérents OPTAM),Reste à charge,€176.00,€163.00,€95.00,€1.00,€1.00,€1.00
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Dépense (tarif moyen),"€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00"
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Base de remboursement de la sécurité sociale,"€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00","€3,270.00"
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Remboursement de la sécurité sociale,"€2,616.00","€2,616.00","€2,616.00","€2,616.00","€2,616.00","€2,616.00"
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Remboursement Produit B,€654.00,€654.00,€654.00,€654.00,€654.00,€654.00
Hospitalisation,,Frais de séjour (suivi d'une pneumonie ou pleurésie pour un patient de plus de 17 ans en hôpital public),Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Dépense (tarif conventionnel),€25.00,€25.00,€25.00,€25.00,€25.00,€25.00
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Base de remboursement de la sécurité sociale,€25.00,€25.00,€25.00,€25.00,€25.00,€25.00
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Remboursement de la sécurité sociale,€16.50,€16.50,€16.50,€16.50,€16.50,€16.50
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Remboursement Produit B,€7.50,€7.50,€7.50,€7.50,€7.50,€7.50
Soins courants,Conventionnés secteur 1,Consultation d'un médecin traitant généraliste,Reste à charge,€1.00,€1.00,€1.00,€1.00,€1.00,€1.00
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Dépense (tarif conventionnel),€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Base de remboursement de la sécurité sociale,€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Remboursement de la sécurité sociale,€22.40,€22.40,€22.40,€22.40,€22.40,€22.40
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Remboursement Produit B,€9.60,€9.60,€9.60,€9.60,€9.60,€9.60
Soins courants,Conventionnés secteur 2,Consultation d'un pédiatre pour un enfant de moins de 6 ans,Reste à charge,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Dépense (tarif conventionnel),€30.00,€30.00,€30.00,€30.00,€30.00,€30.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Base de remboursement de la sécurité sociale,€30.00,€30.00,€30.00,€30.00,€30.00,€30.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Remboursement de la sécurité sociale,€20.00,€20.00,€20.00,€20.00,€20.00,€20.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Remboursement Produit B,€9.00,€9.00,€9.00,€9.00,€9.00,€9.00
Soins courants,Conventionnés secteur 3,Consultation d'un médecin spécialiste,Reste à charge,€1.00,€1.00,€1.00,€1.00,€1.00,€1.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Dépense (tarif moyen),€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Base de remboursement de la sécurité sociale,€32.00,€32.00,€32.00,€32.00,€32.00,€32.00
Soins courants,Adhérents OPTAM à dépassements maîtrisés,Consultation d'un Pédiatre pour un enfant de moins de 6 ans,Remboursement de la sécurité sociale,€22.40,€22.40,€22.40,€22.40,€22.40,€22.40
